movie_id,title,genres,release_year,popularity,vote_average,vote_count,movie_mean,poster_url,overview
1,Toy Story,Animation|Comedy|Family,1995.0,21.946943,7.7,5415.0,3.8659321323254723,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
2,Jumanji,Adventure|Fantasy|Family,1995.0,17.015539,6.9,2413.0,3.4081687263037415,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures."
3,Grumpier Old Men,Romance|Comedy,1995.0,11.7129,6.5,92.0,3.1908577710315473,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max."
4,Waiting to Exhale,Comedy|Drama|Romance,1995.0,3.859495,6.1,34.0,2.706383185889946,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."
5,Father of the Bride Part II,Comedy,1995.0,8.387519,5.7,173.0,3.2904081532134266,/e64sOI48hQXyru7naBFyssKFxVd.jpg,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own."
6,Heat,Action|Crime|Drama|Thriller,1995.0,17.924927,7.7,1886.0,3.8689440123487984,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence."
7,Sabrina,Comedy|Romance,1995.0,6.677277,6.2,141.0,3.305429264586535,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,Tom and Huck,Action|Adventure|Drama|Family,1995.0,2.561161,5.4,45.0,3.671489734601903,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."
9,Sudden Death,Action|Adventure|Thriller,1995.0,5.23158,5.5,174.0,3.2285958938407613,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer..."
10,GoldenEye,Adventure|Action|Thriller,1995.0,14.686036,6.6,1194.0,3.454448010598575,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.
11,The American President,Comedy|Drama|Romance,1995.0,6.318445,6.5,199.0,3.68063100397723,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings."
12,Dracula: Dead and Loving It,Comedy|Horror,1995.0,5.430331,5.7,210.0,3.0093433628703927,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count."
13,Balto,Family|Animation|Adventure,1995.0,12.140733,7.1,423.0,3.7857613343091563,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
14,Nixon,History|Drama,1995.0,5.092,7.1,72.0,3.464302704056084,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency."
